,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Seats,New_Price,Price,Company,Mileage(km/kg),Engine(CC),Power(bhp)
1308,Bangalore,2014,33000,Diesel,Automatic,Second,5,,43,MERCEDES-BENZ,0,2987,165
1309,Mumbai,2009,27078,Petrol,Automatic,First,4,,15.95,VOLKSWAGEN,10.98,1984,114.4
1310,Hyderabad,2011,57275,Diesel,Manual,First,5,,4.5,VOLKSWAGEN,19.7,1598,103.6
1311,Delhi,2014,45000,Diesel,Manual,First,5,,3.49,HYUNDAI,24,1120,70
1312,Delhi,2014,57319,Diesel,Manual,First,5,,4.25,MARUTI,25.2,1248,74
1313,Chennai,2008,121097,Diesel,Manual,Second,5,10.73 Lakh,1.9,HYUNDAI,24,1396,88.76
1314,Mumbai,2011,89000,Diesel,Automatic,First,5,,16.57,BMW,16.73,1995,218
1315,Bangalore,2012,72000,Petrol,Manual,First,5,,5.75,HONDA,17,1497,118
1316,Delhi,2013,36000,Diesel,Automatic,Second,5,,14,AUDI,16.55,1968,147.51
1317,Jaipur,2013,86000,Diesel,Manual,Second,5,9.5 Lakh,2.5,FIAT,19.5,1248,75
1318,Ahmedabad,2002,85000,Petrol,Manual,First,5,,1.2,HONDA,13,1343,90
1319,Pune,2005,120000,Petrol,Manual,Second,5,,0.85,FIAT,15.5,1242,NULL
1320,Kochi,2013,37613,Diesel,Automatic,First,5,52.46 Lakh,13.95,BMW,22.69,1995,190
1321,Chennai,2007,100000,Petrol,Manual,First,5,,1.6,FORD,16.6,1388,68
1322,Coimbatore,2016,5240,Petrol,Automatic,First,4,,3.6,TATA,21.9,624,37.48
1323,Mumbai,2018,20000,CNG,Manual,First,5,,4.5,MARUTI,15.1,1196,73
1324,Coimbatore,2019,16862,Petrol,Manual,First,5,6.07 Lakh,6.06,MARUTI,20.89,1197,81.8
1325,Coimbatore,2013,59254,Petrol,Manual,Second,5,,5.29,MARUTI,17.5,1298,85.8
1326,Jaipur,2014,60000,Diesel,Manual,First,5,,5.75,FORD,22.7,1498,89.84
1327,Hyderabad,2015,50295,Petrol,Manual,First,,,5.8,MARUTI,16.1,NAN,NAN
1328,Coimbatore,2014,47674,Petrol,Manual,First,5,,5.72,MARUTI,19.1,1197,85.8
1329,Kochi,2014,61517,Petrol,Automatic,First,5,,4.39,HYUNDAI,16.95,1197,78.9
1330,Coimbatore,2016,62946,Diesel,Manual,First,7,,11.05,MAHINDRA,15.1,2179,140
1331,Delhi,2015,66823,Diesel,Manual,Second,5,,4.83,HYUNDAI,22.54,1396,88.73
1332,Pune,2013,79494,CNG,Manual,First,5,5.54 Lakh,2.96,MARUTI,33.54,998,67.04
1333,Chennai,2012,107000,Diesel,Manual,Second,5,,4.5,HYUNDAI,21.27,1396,88.76
1334,Mumbai,2011,55000,Diesel,Automatic,Second,5,,19.5,BMW,16.46,2993,258
1335,Mumbai,2017,24000,Petrol,Automatic,First,5,,8.75,SKODA,14.3,1598,103.52
1336,Mumbai,2016,20002,Diesel,Automatic,First,7,1.04 Cr,67,AUDI,14.75,2967,245
1337,Kochi,2016,54317,Petrol,Manual,First,5,,8.4,HONDA,17.4,1497,117.3
1338,Mumbai,2016,10200,Petrol,Manual,First,5,,4.99,HYUNDAI,19.1,1197,82
1339,Coimbatore,2016,24337,Diesel,Manual,First,5,,8.18,HONDA,26,1498,98.6
1340,Pune,2012,79000,Petrol,Manual,First,5,,2.9,HONDA,18.4,1198,86.8
1341,Jaipur,2015,40500,Diesel,Manual,First,5,,7.1,MARUTI,28.09,1248,88.5
1342,Pune,2016,23000,Diesel,Manual,First,5,,7.05,MARUTI,26.59,1248,74
1343,Pune,2015,63050,Petrol,Automatic,First,5,,17.5,HONDA,11.1,2354,158.8
1344,Mumbai,2008,78000,Petrol,Automatic,Second,5,,3.41,TOYOTA,14.53,1794,138.1
1345,Pune,2005,70000,Petrol,Manual,First,5,,1.3,MARUTI,0,1590,NULL
1346,Coimbatore,2012,66245,Petrol,Manual,First,5,,5.68,HONDA,17,1497,118
1347,Bangalore,2007,74112,Diesel,Manual,First,9,,4.1,MAHINDRA,12.05,2179,120
1348,Delhi,2011,87670,Petrol,Manual,First,5,,4,SKODA,13.4,1798,157.8
1349,Hyderabad,2015,10000,Diesel,Automatic,First,5,,30,BMW,18.88,1995,184
1350,Chennai,2007,62493,Petrol,Manual,First,5,,1.8,MARUTI,15,1586,104.68
1351,Kochi,2015,44620,Petrol,Manual,First,5,,6.93,MARUTI,20.73,1373,91.1
1352,Bangalore,2012,66538,Diesel,Automatic,First,7,,70,LAND,10.2,4367,308
1353,Ahmedabad,2013,60000,Diesel,Manual,First,7,,7.9,TOYOTA,12.99,2494,100
1354,Kochi,2011,20842,Petrol,Manual,First,5,,2.78,HYUNDAI,0,1086,62
1355,Chennai,2014,110000,Diesel,Automatic,First,7,,14.4,HYUNDAI,13.01,2199,194.3
1356,Mumbai,2011,45000,Petrol,Automatic,Second,5,,13.5,MERCEDES-BENZ,11.74,1796,186
1357,Mumbai,2014,40000,CNG,Manual,Second,5,,3.15,MARUTI,26.6,998,58.16
1358,Coimbatore,2012,49008,Petrol,Manual,First,5,,2.88,MARUTI,19.7,796,46.3
1359,Kolkata,2016,31000,Petrol,Manual,First,5,,2.15,MARUTI,24.7,796,47.3
1360,Pune,2013,8000,Petrol,Manual,First,5,,3.75,NISSAN,16.95,1498,97.7
1361,Mumbai,2019,171,Petrol,Manual,First,5,,3.6,MARUTI,24.7,796,47.3
1362,Kolkata,2018,2100,Petrol,Manual,First,5,4.33 Lakh,3.6,MARUTI,24.07,998,67.1
1363,Coimbatore,2018,20667,Petrol,Automatic,First,5,8.63 Lakh,7.55,HYUNDAI,18.9,1197,81.86
1364,Kolkata,2015,50000,Diesel,Manual,First,7,,4.7,HONDA,24.2,1498,98.6
1365,Jaipur,2010,100030,Diesel,Manual,Second,5,,1.6,TATA,18.8,1248,90
1366,Pune,2011,75372,Diesel,Manual,First,5,,3.34,CHEVROLET,16.52,1991,123.7
1367,Kochi,2016,60475,Petrol,Automatic,First,5,,9.1,HONDA,18,1497,117.3
1368,Kochi,2019,18453,Petrol,Manual,First,5,6.68 Lakh,6.17,HYUNDAI,18.9,1197,81.86
1369,Hyderabad,2008,96578,Diesel,Manual,First,5,14.07 Lakh,2.5,HYUNDAI,22,1582,126.2
1370,Kolkata,2016,31001,Petrol,Manual,First,5,,3,NISSAN,18.44,1198,75
1371,Jaipur,2012,65900,Diesel,Manual,First,5,,5.75,HYUNDAI,22.32,1582,126.32
1372,Bangalore,2017,26246,Petrol,Manual,First,5,,10.75,HYUNDAI,15.29,1591,121.3
1373,Jaipur,2013,62700,Petrol,Manual,Second,5,,2.85,MARUTI,20.51,998,67.04
1374,Chennai,2008,90000,Petrol,Automatic,First,5,,6.5,HONDA,10.2,2354,180
1375,Bangalore,2016,36000,Petrol,Automatic,First,5,,9.45,HONDA,16.8,1497,118
1376,Delhi,2016,46000,Diesel,Manual,First,5,,6.75,MARUTI,27.39,1248,74
1377,Coimbatore,2017,73003,Diesel,Manual,First,5,,7.75,HONDA,26,1498,98.6
1378,Kochi,2014,46566,Diesel,Manual,First,5,,4.4,HYUNDAI,22.54,1396,88.76
1379,Jaipur,2015,41493,Diesel,Automatic,First,5,,42,MERCEDES-BENZ,13,2987,265
1380,Kochi,2014,103788,Diesel,Manual,First,5,,5.67,NISSAN,19.01,1461,108.5
1381,Bangalore,2016,45000,Diesel,Automatic,First,5,15.05 Lakh,11.5,RENAULT,19.6,1461,108.45
1382,Pune,2009,120000,Petrol,Manual,First,5,,1.69,MARUTI,18.9,998,67.1
1383,Jaipur,2009,97359,Diesel,Manual,Second,5,,1.8,HYUNDAI,17.1,1493,110
1384,Mumbai,2016,62000,Petrol,Manual,First,5,,3.2,MARUTI,18.5,1197,85.8
1385,Pune,2004,115000,Petrol,Manual,Second,,,1.5,HONDA,0,NAN,NAN
1386,Kochi,2019,18373,Diesel,Automatic,First,5,,45.86,BMW,22.48,1995,187.74
1387,Hyderabad,2016,60453,Petrol,Manual,First,5,,5.1,VOLKSWAGEN,16.47,1198,74
1388,Pune,2013,37000,Diesel,Manual,First,5,,4.85,MARUTI,17.8,1248,NULL
1389,Mumbai,2010,69009,Petrol,Manual,Second,5,,2.4,FORD,15.6,1196,70
1390,Hyderabad,2013,30000,Diesel,Automatic,First,5,,22,BMW,18.88,1995,184
1391,Delhi,2012,70707,Diesel,Manual,First,5,,4.28,HYUNDAI,22.32,1582,126.32
1392,Coimbatore,2015,64677,Diesel,Manual,First,5,,5.67,RENAULT,20.45,1461,83.8
1393,Bangalore,2018,3000,Petrol,Automatic,First,5,7.98 Lakh,6.2,HYUNDAI,18.9,1197,81.86
1394,Bangalore,2013,49000,Diesel,Automatic,Second,5,,14.49,BMW,17.05,1995,184
1395,Pune,2010,71000,Diesel,Manual,First,5,,3,MARUTI,21.1,1248,73.9
1396,Jaipur,2010,52000,Petrol,Manual,Second,5,,2.25,HYUNDAI,19.81,1086,68.05
1397,Kochi,2016,35659,Diesel,Automatic,First,7,,43.78,BMW,15.97,2993,258
1398,Kochi,2019,5377,Petrol,Manual,First,5,,11.45,HONDA,16.8,1497,116.3
1399,Delhi,2014,65000,Diesel,Automatic,First,7,,10.5,MAHINDRA,11.18,2696,184
1400,Coimbatore,2015,92708,Diesel,Manual,First,5,,7.48,FORD,22.7,1498,89.84
1401,Coimbatore,2010,48105,Petrol,Manual,First,5,,3.1,MARUTI,19.7,796,46.3
1402,Mumbai,2011,46759,Petrol,Manual,First,5,,2.55,VOLKSWAGEN,16.47,1198,74
1403,Jaipur,2013,62000,Diesel,Manual,First,5,,3.5,VOLKSWAGEN,22.07,1199,73.9
1404,Kolkata,2012,35175,Diesel,Manual,First,5,,2.59,VOLKSWAGEN,22.07,1199,73.9
1405,Kolkata,2013,70000,Diesel,Manual,First,7,,5.45,MARUTI,20.77,1248,88.8
1406,Kolkata,2017,30000,Diesel,Manual,First,5,,6,FORD,22.77,1498,98.59
1407,Kolkata,2016,66618,Diesel,Automatic,First,7,24.82 Lakh,15.49,TOYOTA,11.36,2755,171.5
1408,Mumbai,2010,69300,Petrol,Automatic,Second,5,,12.5,BMW,10.8,2497,150
1409,Kolkata,2017,148000,Diesel,Manual,First,5,,4.75,MARUTI,23.4,1248,74
1410,Mumbai,2017,22000,Petrol,Manual,First,5,,7.85,FORD,18.88,999,123.24
1411,Ahmedabad,2013,75000,Diesel,Manual,First,5,,6,HYUNDAI,16.8,1493,110
1412,Mumbai,2016,43706,Petrol,Manual,First,5,7.63 Lakh,4,TATA,17.57,1193,88.7
1413,Mumbai,2011,42000,Diesel,Automatic,First,5,,28.75,AUDI,14.4,2967,241.4
1414,Pune,2012,65000,Diesel,Manual,First,5,,2.5,TATA,22.3,1248,74
1415,Delhi,2015,76128,Diesel,Manual,First,5,,5.5,MARUTI,26.59,1248,74
1416,Kolkata,2010,39852,Petrol,Manual,First,5,,1.59,FIAT,16,1368,90
1417,Mumbai,2017,18673,Petrol,Manual,First,5,,6.22,HYUNDAI,18.6,1197,81.83
1418,Kolkata,2016,11583,Petrol,Manual,First,5,,2.75,HYUNDAI,21.1,814,55.2
1419,Chennai,2007,82000,Petrol,Manual,Second,5,,1.35,HYUNDAI,0,1086,NULL
1420,Pune,2017,50000,Diesel,Automatic,First,5,,25,MERCEDES-BENZ,17.9,2143,136
1421,Delhi,2014,77000,Petrol,Manual,First,5,,2.8,MARUTI,23.1,998,67.04
1422,Mumbai,2014,54890,Petrol,Manual,Second,5,,2.45,CHEVROLET,17.8,1199,76.8
1423,Pune,2016,21000,Petrol,Automatic,First,5,,6.35,HONDA,19,1199,88.7
1424,Mumbai,2009,58557,Diesel,Automatic,Third,5,,8,BMW,16.07,1995,181
1425,Bangalore,2014,70000,Diesel,Manual,First,5,,8.25,RENAULT,19.01,1461,108.45
1426,Mumbai,2017,16000,Petrol,Automatic,First,5,,5.95,FORD,17.01,1499,110.4
1427,Kochi,2018,8899,Diesel,Manual,First,7,22.86 Lakh,19.92,TOYOTA,13.68,2393,147.8
1428,Kochi,2016,83629,Diesel,Manual,First,5,,3.15,CHEVROLET,25.44,936,56.3
1429,Chennai,2014,35059,Petrol,Automatic,First,4,,5.75,VOLKSWAGEN,17.21,1798,189
1430,Kochi,2018,30552,Diesel,Automatic,First,7,,32.44,FORD,10.91,3198,197.2
1431,Kochi,2016,44875,Diesel,Automatic,Second,5,,8.01,HYUNDAI,22.32,1582,126.32
1432,Coimbatore,2017,25095,Petrol,Manual,First,5,,6.48,FORD,18.16,1196,86.8
1433,Jaipur,2007,59000,Petrol,Manual,First,4,,0.75,MARUTI,16.1,796,37
1434,Kolkata,2014,36000,Diesel,Manual,First,5,,5,HONDA,26,1498,98.6
1435,Mumbai,2012,37000,Diesel,Manual,First,7,,7.75,MAHINDRA,16,2179,140
1436,Chennai,2010,90000,Diesel,Manual,First,5,,2.6,FORD,20,1399,68
1437,Pune,2018,17000,Petrol,Manual,First,5,11.06 Lakh,9.2,FORD,17,1497,121.36
1438,Mumbai,2015,42575,Petrol,Manual,First,5,,5.05,HYUNDAI,18.6,1197,81.83
1439,Hyderabad,2012,131000,Diesel,Manual,First,7,,9.6,TOYOTA,12.99,2494,100
1440,Mumbai,2013,74000,Diesel,Manual,First,5,,5.5,RENAULT,20.46,1461,83.8
1441,Mumbai,2013,47234,Diesel,Manual,First,8,,9.35,TOYOTA,12.99,2494,100.6
1442,Delhi,2009,231673,Petrol,Manual,First,5,,2.6,HONDA,17,1497,118
1443,Hyderabad,2016,10000,Petrol,Manual,First,5,4.53 Lakh,3.5,MARUTI,24.07,998,67.1
1444,Kochi,2016,49389,Petrol,Manual,First,5,,4.26,NISSAN,19.49,1198,67.04
1445,Chennai,2016,12000,Petrol,Automatic,Second,5,,4.25,MARUTI,23.1,998,67.04
1446,Hyderabad,2010,65000,Petrol,Manual,Second,5,,11.75,MERCEDES-BENZ,11.7,1796,178
1447,Chennai,2013,177000,Diesel,Manual,First,5,,3.5,FORD,23.5,1498,88.7
1448,Jaipur,2015,89000,Petrol,Manual,First,5,,7.5,HYUNDAI,17.01,1591,121.3
1449,Chennai,2009,72000,Petrol,Automatic,Third,5,,3.25,HYUNDAI,15,1396,100
1450,Chennai,2012,49000,Petrol,Manual,First,5,,4.9,MARUTI,17.5,1298,85.8
1451,Hyderabad,2014,51355,Diesel,Automatic,First,5,,27,MERCEDES-BENZ,14.84,2143,170
1452,Kochi,2017,13460,Petrol,Manual,First,5,,8.91,HYUNDAI,18.6,1197,81.86
1453,Kochi,2014,35642,Petrol,Automatic,First,5,,6.69,HYUNDAI,17.01,1591,121.4
1454,Kochi,2014,52895,Diesel,Manual,First,5,,6.02,CHEVROLET,17.3,1998,163.7
1455,Mumbai,2010,93000,Petrol,Manual,First,5,19.39 Lakh,4.5,TOYOTA,14.28,1798,138.03
1456,Pune,2011,70000,Petrol,Manual,First,5,,2,MARUTI,19,998,66.1
1457,Kolkata,2012,32048,Diesel,Manual,First,5,,2.4,NISSAN,23.08,1461,63.1
1458,Pune,2013,4700,Petrol,Manual,First,4,,1.2,TATA,25.4,624,37.48
1459,Delhi,2014,71800,Diesel,Manual,First,5,,2.9,MARUTI,23.4,1248,74
1460,Coimbatore,2008,69078,Petrol,Manual,First,,,40.88,LAND,0,NAN,NAN
1461,Ahmedabad,2016,45000,Diesel,Automatic,First,5,,27,AUDI,17.32,1968,184
1462,Chennai,2016,15388,Diesel,Manual,First,5,,7.5,HONDA,25.8,1498,98.6
1463,Mumbai,2004,98798,Petrol,Manual,First,5,,1.5,CHEVROLET,14.7,1599,104
1464,Hyderabad,2016,43000,Diesel,Automatic,First,5,,39.5,AUDI,14.16,1968,174.3
1465,Hyderabad,2012,85112,Diesel,Manual,First,5,,3.39,MARUTI,23.2,1248,73.94
1466,Kochi,2018,37804,Diesel,Manual,First,7,,12.4,MAHINDRA,15.4,2179,120
1467,Chennai,2014,45000,Diesel,Manual,First,5,,6.85,MARUTI,28.09,1248,88.5
1468,Pune,2011,116000,Diesel,Manual,Second,5,,5.75,TOYOTA,21.43,1364,138
1469,Chennai,2015,100073,Diesel,Manual,Second,5,,2,TATA,25,1396,69
1470,Jaipur,2006,165000,Petrol,Manual,First,4,,0.9,MARUTI,16.1,796,37
1471,Kolkata,2015,22000,Petrol,Manual,First,5,,3.8,VOLKSWAGEN,16.47,1198,74
1472,Delhi,2017,9500,Petrol,Automatic,First,5,21.77 Lakh,16.35,HYUNDAI,14.62,1999,149.92
1473,Hyderabad,2012,152000,Diesel,Automatic,First,7,,16.5,TOYOTA,11.5,2982,169
1474,Coimbatore,2019,17705,Petrol,Manual,First,5,,8.7,MARUTI,21.4,1197,83.1
1475,Mumbai,2016,12000,Petrol,Manual,First,5,,6.1,MARUTI,21.4,1197,83.1
1476,Hyderabad,2013,51000,Diesel,Automatic,First,5,,21.94,MINI,23.8,1998,112
1477,Chennai,2009,42000,Diesel,Automatic,Second,5,,22,MERCEDES-BENZ,13,2987,210
1478,Delhi,2015,51000,Petrol,Manual,First,5,,2.65,MARUTI,20.92,998,67.1
1479,Kochi,2017,42527,Petrol,Manual,First,5,,5.27,MARUTI,20.4,1197,81.8
1480,Kolkata,2014,45000,Diesel,Manual,First,5,,2.48,CHEVROLET,22.1,1248,74
1481,Kolkata,2011,70000,Diesel,Manual,First,8,,6,TOYOTA,12.8,2494,102
1482,Mumbai,2009,92000,Diesel,Manual,First,7,,8.9,TOYOTA,11.5,2982,171
1483,Hyderabad,2012,57156,Diesel,Automatic,Second,5,,18,BMW,18.88,1995,184
1484,Coimbatore,2016,53211,Petrol,Manual,First,5,,11.64,SKODA,16.8,1395,138.02
1485,Kolkata,2019,80000,Diesel,Manual,First,7,,8.99,TOYOTA,11.5,2982,171
1486,Bangalore,2009,74000,Diesel,Automatic,First,5,,5.25,VOLKSWAGEN,15.5,1896,105
1487,Kolkata,2011,37000,Diesel,Manual,First,5,,2.95,HYUNDAI,23,1396,90
1488,Mumbai,2013,64000,Diesel,Manual,Second,5,,2.65,TATA,21.02,1248,88.76
1489,Pune,2013,57197,Petrol,Manual,First,5,,4,VOLKSWAGEN,15.04,1598,103.6
1490,Chennai,2016,55000,Diesel,Automatic,First,5,18.35 Lakh,12.5,HYUNDAI,17.6,1582,126.2
1491,Mumbai,2014,33000,Petrol,Manual,First,5,,3.25,MARUTI,21.1,1197,85.8
1492,Delhi,2008,70000,Petrol,Manual,First,5,,4,HONDA,13.1,1997,141.1
1493,Delhi,2012,75000,Diesel,Manual,Second,7,,6.25,MAHINDRA,15.1,2179,140
1494,Jaipur,2016,58095,Diesel,Manual,First,5,9.19 Lakh,5.8,VOLKSWAGEN,21.66,1498,108.62
1495,Kolkata,2015,7445,Petrol,Manual,First,5,8.09 Lakh,5,TATA,17.57,1193,88.7
1496,Kochi,2016,17652,Diesel,Automatic,First,5,,58.73,JAGUAR,12.9,2993,270.88
1497,Kochi,2018,28321,Petrol,Automatic,First,5,23.25 Lakh,17.49,TOYOTA,14.28,1798,138.03
1498,Pune,2011,69000,Petrol,Manual,Second,5,,1.95,MARUTI,19,998,66.1
1499,Mumbai,2007,80000,Petrol,Automatic,First,5,,3,HONDA,11.1,2354,142
1500,Delhi,2014,42365,Petrol,Manual,First,5,,5.5,HYUNDAI,17,1197,80
1501,Delhi,2013,123000,Diesel,Automatic,First,7,,16.5,TOYOTA,12.55,2982,168.5
1502,Mumbai,2011,40000,Petrol,Automatic,Second,5,,14.5,MERCEDES-BENZ,11.74,1796,186
1503,Hyderabad,2016,30112,Diesel,Manual,First,5,,7.79,MARUTI,27.39,1248,74
1504,Kochi,2017,43775,Diesel,Manual,First,7,,8.27,MARUTI,20.77,1248,88.76
1505,Kochi,2019,26013,Diesel,Automatic,First,5,1.39 Cr,97.07,LAND,12.65,2993,255
1506,Mumbai,2012,56000,Petrol,Manual,First,5,,2.15,CHEVROLET,12.9,1598,102.5
1507,Hyderabad,2008,95000,Petrol,Automatic,Second,5,,3,HONDA,12.9,1799,130
1508,Coimbatore,2014,41089,Diesel,Automatic,First,5,,28.79,BMW,16.09,1995,184
1509,Mumbai,2011,41988,Diesel,Automatic,First,5,,5.45,SKODA,20,1968,138.1
1510,Delhi,2013,72486,Diesel,Manual,First,5,,3.95,MARUTI,23.4,1248,74
1511,Pune,2013,92000,Diesel,Automatic,First,5,,16,VOLVO,23.3,1984,150
1512,Delhi,2013,40000,Petrol,Manual,First,5,,4.25,MARUTI,17.5,1298,85.8
1513,Bangalore,2014,56000,Diesel,Automatic,First,5,,34.5,LAND,12.7,2179,187.7
1514,Mumbai,2008,125000,Petrol,Automatic,Third,5,,2.6,HONDA,11.7,2354,177.6
1515,Kochi,2017,29219,Diesel,Manual,First,8,,13.48,TOYOTA,12.99,2494,100.6
1516,Hyderabad,2018,39927,Diesel,Manual,First,7,,32.1,TOYOTA,12.55,2982,168.5
1517,Kochi,2018,38593,Petrol,Manual,First,5,,6.17,HONDA,18.7,1199,88.7
1518,Kolkata,2015,32000,Petrol,Manual,First,5,,5.5,HONDA,17,1497,118
1519,Hyderabad,2017,28226,Diesel,Automatic,First,5,11.52 Lakh,9.15,MARUTI,28.4,1248,73.75
1520,Pune,2014,95000,Diesel,Manual,First,5,,4.5,NISSAN,21.64,1461,84.8
1521,Chennai,2014,194000,Diesel,Manual,First,8,,10.5,TOYOTA,12.99,2494,100.6
1522,Coimbatore,2016,14821,Petrol,Manual,First,5,,5.37,HONDA,19.4,1198,86.8
1523,Bangalore,2012,52000,Petrol,Manual,First,5,,5.45,VOLKSWAGEN,15.04,1598,103.6
1524,Mumbai,2016,33000,Diesel,Manual,First,7,,9.25,MAHINDRA,16,2179,140
1525,Chennai,2016,29200,Diesel,Manual,First,5,13.23 Lakh,7.7,FORD,23,1498,98.96
1526,Hyderabad,2012,99754,Diesel,Manual,First,5,,7.99,SKODA,17.72,1968,108.49
1527,Chennai,2012,49000,Petrol,Manual,First,5,,3,HYUNDAI,20.36,1197,78.9
1528,Hyderabad,2005,299322,Diesel,Manual,First,8,,4,TOYOTA,12.8,2494,102
1529,Coimbatore,2018,38310,Diesel,Manual,First,5,10.06 Lakh,6.69,TATA,20.65,1248,88.7
1530,Delhi,2014,56000,Diesel,Manual,First,5,,4.25,MARUTI,22.9,1248,74
1531,Kolkata,2017,31300,Diesel,Automatic,First,5,15.34 Lakh,10.5,SKODA,21.72,1498,108.4
1532,Coimbatore,2019,11241,Diesel,Manual,First,8,24.01 Lakh,22.55,TOYOTA,13.68,2393,147.8
1533,Pune,2014,48000,Petrol,Manual,Second,5,,5.2,HYUNDAI,17.01,1591,121.3
1534,Coimbatore,2019,23882,Petrol,Manual,First,5,,11.87,HONDA,17.4,1497,117.3
1535,Hyderabad,2014,65000,Diesel,Manual,First,5,,6.99,HONDA,26,1498,98.6
1536,Jaipur,2011,50000,Diesel,Manual,First,5,,5,VOLKSWAGEN,20.54,1598,103.6
1537,Chennai,2014,25000,Diesel,Automatic,First,5,,44,AUDI,12.19,2967,236
1538,Chennai,2015,21000,Petrol,Manual,First,5,,2.79,MARUTI,22.74,796,47.3
1539,Pune,2012,148000,Diesel,Manual,Second,5,,2.9,TATA,21.12,1248,88.8
1540,Delhi,2016,68000,Petrol,Manual,First,5,,9.85,HYUNDAI,15.29,1591,121.3
1541,Bangalore,2014,52000,Diesel,Automatic,First,7,,49,MERCEDES-BENZ,12,2987,224
1542,Jaipur,2016,19000,Diesel,Manual,First,6,11.39 Lakh,9.25,MAHINDRA,16.55,2498,105
1543,Mumbai,2011,74000,Diesel,Manual,Second,5,,3.75,HYUNDAI,22.32,1582,126.3
1544,Coimbatore,2017,30279,Diesel,Manual,First,5,9.79 Lakh,7.29,FORD,26.1,1498,99
1545,Mumbai,2016,20000,Diesel,Automatic,First,4,35 Lakh,23.5,MINI,20.7,1496,113.98
1546,Hyderabad,2013,34834,Petrol,Manual,First,5,,2.6,MARUTI,14,796,35
1547,Pune,2015,90000,Diesel,Manual,Second,5,9.26 Lakh,3.1,MAHINDRA,21.03,1461,65
1548,Coimbatore,2016,38730,Diesel,Automatic,First,5,,29.98,MERCEDES-BENZ,14.21,2143,203
1549,Kochi,2016,57390,Diesel,Manual,First,5,,6.73,RENAULT,19.01,1461,108.45
1550,Kolkata,2016,100000,Diesel,Manual,First,5,,3.5,MARUTI,23.4,1248,74
1551,Kolkata,2011,50000,Petrol,Manual,First,5,,2.35,VOLKSWAGEN,16.47,1198,73.9
1552,Coimbatore,2017,64961,Diesel,Manual,First,7,,16.13,MAHINDRA,16,2179,140
1553,Coimbatore,2014,72465,Petrol,Manual,First,5,,5.9,VOLKSWAGEN,16.47,1198,74
1554,Hyderabad,2012,68776,Petrol,Manual,First,5,,3.9,MARUTI,21.1,1197,85.8
1555,Pune,2005,150000,Petrol,Manual,First,5,,1.5,CHEVROLET,14.7,1598,NULL
1556,Delhi,2012,68000,Diesel,Manual,First,7,,6.95,TOYOTA,12.8,2494,102
1557,Delhi,2015,33000,Diesel,Manual,First,5,,7,HONDA,26,1498,98.6
1558,Coimbatore,2017,22389,Petrol,Manual,First,5,8.68 Lakh,7.23,VOLKSWAGEN,17,1198,73.75
1559,Mumbai,2012,90000,Diesel,Manual,First,5,,3.81,MARUTI,21.5,1248,88.8
1560,Chennai,2012,42000,Petrol,Manual,Third,5,,4.5,MARUTI,18.6,1197,85.8
1561,Pune,2017,38767,Diesel,Manual,First,5,,12.6,HYUNDAI,19.67,1582,126.2
1562,Bangalore,2015,21000,Diesel,Automatic,First,7,,48,AUDI,12.07,2967,241.4
1563,Coimbatore,2010,59136,Petrol,Manual,First,5,,2.96,MARUTI,19.7,796,46.3
1564,Kolkata,2014,36000,Diesel,Manual,First,5,,3.25,HONDA,25.8,1498,98.6
1565,Chennai,2011,95000,Diesel,Automatic,Second,5,,8.5,VOLKSWAGEN,18.33,1968,167.7
1566,Mumbai,2013,51000,Diesel,Automatic,First,5,,8.75,HYUNDAI,19.5,1582,126.24
1567,Kochi,2011,36411,Petrol,Manual,First,5,,3.08,MARUTI,18.9,998,67.1
1568,Mumbai,2017,40000,Diesel,Automatic,First,7,66.39 Lakh,41.5,LAND,12.81,1999,148.31
1569,Pune,2016,27300,Petrol,Manual,First,5,,7,HONDA,17.8,1497,117.3
1570,Kochi,2011,29813,Petrol,Automatic,Second,5,,11.5,MERCEDES-BENZ,14.74,1991,181.03
1571,Pune,2011,71000,Petrol,Manual,First,5,,2.6,MARUTI,20.51,998,67.04
1572,Kolkata,2014,32000,Diesel,Manual,First,5,,4.3,HYUNDAI,22.32,1582,126.3
1573,Mumbai,2017,19234,CNG,Manual,First,7,,8.35,MARUTI,17.5,1373,80.46
1574,Jaipur,2017,50510,Diesel,Automatic,First,5,36.45 Lakh,24.9,VOLKSWAGEN,17.06,1968,141
1575,Pune,2011,102000,Diesel,Automatic,First,5,,13.75,BMW,15.06,1995,177
1576,Kolkata,2014,42277,Diesel,Manual,First,5,,3.85,HYUNDAI,24,1186,73.97
1577,Mumbai,2014,46000,Diesel,Automatic,First,5,,23.25,MERCEDES-BENZ,13,2143,201.1
1578,Chennai,2012,35000,Diesel,Manual,First,7,,7,MAHINDRA,13.6,2523,NULL
1579,Bangalore,2015,50000,Petrol,Manual,First,5,,5.75,HYUNDAI,18.9,1197,82
1580,Mumbai,2008,62000,Petrol,Manual,Second,5,,1.65,HYUNDAI,20.36,1197,78.9
1581,Mumbai,2012,78000,Diesel,Manual,First,5,,6.5,VOLKSWAGEN,19.33,1968,138.1
1582,Chennai,2011,79000,Diesel,Manual,First,5,,7.5,SKODA,17.67,1968,138.08
1583,Kochi,2019,6773,Diesel,Automatic,First,7,91.38 Lakh,72.94,AUDI,14.75,2967,245
